3,1,1380,503,20,50,1.0,-1,-1,-1
2,1,1382.78,505.758,20.0052,50.9083,1.0,-1,-1,-1
1,1,1385.08,503.401,20.0267,50.282,1.0,-1,-1,-1
3,2,1489,506,19,47,1.0,-1,-1,-1
2,2,1490.12,506.18,19.0048,49.6412,1.0,-1,-1,-1
1,2,1493.7,504.876,19.0256,50.0956,1.0,-1,-1,-1
3,3,1462,507,21,48,1.0,-1,-1,-1
2,3,1464.84,508.042,20.1381,47.1724,1.0,-1,-1,-1
1,3,1468.73,506.91,20.0088,47.807,1.0,-1,-1,-1
3,4,657,520,28,76,1.0,-1,-1,-1
2,4,653.169,519.167,31.4798,82.9984,1.0,-1,-1,-1
1,4,651.26,518.041,32.1296,85.7265,1.0,-1,-1,-1
3,5,1678,534,27,74,1.0,-1,-1,-1
2,5,1683.6,533.365,26.1372,74.9284,1.0,-1,-1,-1
1,5,1684.8,534.961,27.5997,73.5228,1.0,-1,-1,-1
3,6,154,515,36,92,1.0,-1,-1,-1
2,6,146.327,514.07,36.8774,94.6767,1.0,-1,-1,-1
1,6,138.303,513.904,40.9292,97.4458,1.0,-1,-1,-1
3,7,717,505,24,60,1.0,-1,-1,-1
2,7,716.69,503.296,24.0061,61.7841,1.0,-1,-1,-1
1,7,716.9,501.994,24.0322,61.3129,1.0,-1,-1,-1
3,8,198,490,26,71,1.0,-1,-1,-1
2,8,192.97,489.057,26.8745,71.0562,1.0,-1,-1,-1
1,8,190.024,489.659,26.287,70.2738,1.0,-1,-1,-1
3,9,1340,552,55,125,1.0,-1,-1,-1
2,9,1343.61,554.786,56.754,125.101,1.0,-1,-1,-1
1,9,1347.62,554.003,57.111,126.659,1.0,-1,-1,-1
3,10,168,545,46,129,1.0,-1,-1,-1
2,10,155.989,544.101,46.0094,130.839,1.0,-1,-1,-1
1,10,144.848,543.931,46.0644,136.577,1.0,-1,-1,-1
3,11,580,502,31,73,1.0,-1,-1,-1
2,11,578.722,501.137,30.1406,73.0604,1.0,-1,-1,-1
1,11,576.406,500.815,30.0219,73.8383,1.0,-1,-1,-1
4,1,1386.78,505.108,19.2156,51.5849,1.0,-1,-1,-1
4,2,1494.23,507.064,19.7507,50.9265,1.0,-1,-1,-1
4,3,1470.86,509.864,19.9397,48.0014,1.0,-1,-1,-1
4,4,646.876,518.144,32.9278,87.238,1.0,-1,-1,-1
4,5,1688.17,538.187,27.2367,72.2631,1.0,-1,-1,-1
4,6,128.747,513.925,44.3128,100.512,1.0,-1,-1,-1
4,7,716.111,502.863,23.9794,62.6315,1.0,-1,-1,-1
4,8,185.584,490.737,25.2343,66.1597,1.0,-1,-1,-1
4,9,1352.12,556.152,57.0567,129.393,1.0,-1,-1,-1
4,10,134.126,543.192,42.8798,139.098,1.0,-1,-1,-1
4,11,574.173,501.111,29.9304,74.0585,1.0,-1,-1,-1
